No,No Tebu,No Ruas,kode,Jarak,Panjang,Drata,Keliling,Berat,Brix,Kelas
1,83,8,117108,0.522755611,7.3,3.35,10.3,6.849315068,16.2,1
2,83,9,117109,0.580735661,11.3,3.35,10.3,7.168141593,15.6,0
3,83,10,117110,0.641209476,8.1,3.35,10,6.543209877,16.2,1
4,83,11,117111,0.703865337,12,3.2,9.8,6.083333333,16.3,1
5,83,12,117112,0.766521197,8.1,3.05,9.3,5.925925926,17,1
6,83,13,117113,0.823254364,10.1,3.3,9.4,5.841584158,14.7,0
7,83,14,117114,0.877805486,7.4,3.1,9.2,5.405405405,14.4,0
8,83,15,117115,0.93734414,11.7,3.3,8.9,5.384615385,15,0
9,83,16,117116,1,8.4,3.05,8.8,4.880952381,12.5,0
10,84,1,117201,0.054402692,19.4,3.95,11.2,9.432989691,13.4,0
11,84,2,117202,0.150588895,14.9,3.95,11.3,8.590604027,11.2,0
12,84,3,117203,0.250420639,20.7,3.9,11.5,8.06763285,11,0
13,84,4,117204,0.354458777,16.4,3.85,11,7.926829268,9.8,0
14,84,5,117205,0.438306225,13.5,3.85,11,7.333333333,9,0
15,84,6,117206,0.507571509,11.2,3.45,10.1,6.339285714,8.4,0
16,84,7,117207,0.577397644,13.7,3.5,10.1,6.423357664,7.9,0
17,84,8,117208,0.640773976,8.9,3.45,10,5.842696629,8.3,0
18,84,9,117209,0.701626472,12.8,3.4,9.6,6.015625,8,0
19,84,10,117210,0.764161526,9.5,3.25,9.3,4.947368421,8,0
20,84,11,117211,0.828659563,13.5,3.25,8.8,5.185185185,7,0
21,84,12,117212,0.890633763,8.6,3.05,8.4,4.418604651,6,0
22,84,13,117213,0.946719013,11.4,3.05,7.9,4.122807018,6.5,0
23,84,14,117214,1,7.6,3.1,8,4.078947368,6.9,0
24,85,1,117301,0.044078947,13.4,3.1,10.2,9.029850746,18,1
25,85,2,117302,0.126973684,11.8,3,10,8.13559322,17.5,1
26,85,3,117303,0.220723684,16.7,3,9.7,8.023952096,16.8,1
27,85,4,117304,0.308223684,9.9,3.05,10.3,8.282828283,18,1
28,85,5,117305,0.367105263,8,3,10.5,8.75,18,1
29,85,6,117306,0.432236842,11.8,3,10,8.220338983,18,1
